tps_tac_gx.imei_tac,tps_tac_gx.tac_model,tps_tac_gx.brand,tps_tac_gx.ishigh_price
35439408,i5,Adams Future Limited 
35316608,CONCORD MG-4,Akturk Bilisim Teknolojileri A.S. 
35405908,CONCORD MG-5,Akturk Bilisim Teknolojileri A.S. 
35476107,Z00XSB,ASUSTek Computer Inc 
35223007,ASUS ASUS_Z00XSA,ASUSTek Computer Inc 
35316307,ASUS_Z00TDB,ASUSTek Computer Inc 
91151390,Iball Andi 5G Blink 4G,Best IT World (India) Pvt Ltd 
91154060,Iball Andi Wink 4G,Best IT World (India) Pvt Ltd 
35529508,ME557,Best Source International Co 
35509207,BLU DASH X PLUS,BLU Products Inc 
86359303,SMART 4G Octa 5.5,China Mobile Group Device Co Ltd 
86135203,lephone C9,Chongqing Blephone Technology Co Ltd 
35947004,MC7710,Cisco Systems Inc (including all affiliates) 
35259907,CONTINENTAL CU NAD,Continental Automotive Systems
35657307,RADGER2,Daehap Hypertech 
35878807,MIB2-HighScale,Delphi Deutschland GmbH 
35579104,DWR-530,D-Link Corporation 
35602707,STERK ULTRON X-1,Dubai Elektronikve Internet Hiz.Ic Ve Dis Tic.Ltd.Sti. 
86324801,5712,Fujian Ruiven Information Technology Inc 
35401706,FMP136-WOODY,Fujitsu Ltd 
35729907,CINTERION ELS61-E,Gemalto M2M GmbH 
35325108,Cinterion ELS61-E2,Gemalto M2M GmbH 
35355307,DISCOVERY ELITE PLUS,General Mobile Inc 
86214503,LG6001N,Guangzhou Gaoke Communications Technology Co Ltd 
35309206,L321R,Hanbit Electronics Co Ltd 
35796907,HiKING A12,Hi-Power (Shenzhen) Technology Co Limited 
35797007,1600,Hi-Power (Shenzhen) Technology Co Limited 
35193408,HiKING A14,Hi-Power (Shenzhen) Technology Co Limited 
35193508,HiKING A15,Hi-Power (Shenzhen) Technology Co Limited 
35480407,ELE M2,HK Elephone Communication Tech Co Limited 
35206808,SPEED X,Hongkong IPRO Technology Co Limited 
35613508,2PZC400,HTC Corporation 
35606106,D818S,HTC Corporation 
35612308,2PZF100,HTC Corporation 
86616802,B315S-22,HUAWEI Technologies Co Ltd 
86251203,honor 6X,HUAWEI Technologies Co Ltd 
86237803,MS2172s,HUAWEI Technologies Co Ltd 
35254606,M810T,InFocus Corporation 
35771407,M812A,InFocus Corporation 
35743108,T2,Innjoo Technology L.L.C 
35254208,3G/4G router,Jaton Technology Limited 
86123103,MTC SMART Drift 4G,Jiangxi Hongpai Technology Co Ltd 
35737708,A3 5G WiFi,Lava International (H.K) Limited 
35846007,iris 860,Lava International (H.K) Limited 
35209808,iris 870 4G,Lava International (H.K) Limited 
35678308,Blade X6,LEFE Electronic Technology Co Ltd 
35678408,Blade X7,LEFE Electronic Technology Co Ltd 
86376803,TAB4 8,Lenovo (Beijing) Co Ltd 
35776706,F500L,LG Electronics Inc. 
35428105,F180K,LG Electronics Inc. 
35396405,F200K,LG Electronics Inc. 
35654605,F220K,LG Electronics Inc. 
35503205,F240K,LG Electronics Inc. 
35784305,F300K,LG Electronics Inc. 
35645705,F320K,LG Electronics Inc. 
35850605,F340K,LG Electronics Inc. 
35150906,F350K,LG Electronics Inc. 
35243506,F370K,LG Electronics Inc. 
35316706,F400K,LG Electronics Inc. 
35387006,F430L,LG Electronics Inc. 
35416506,F460K,LG Electronics Inc. 
35387306,F470K,LG Electronics Inc. 
35553606,F490K,LG Electronics Inc. 
35418006,F490L,LG Electronics Inc. 
35553506,F490S,LG Electronics Inc. 
35776606,F500K,LG Electronics Inc. 
35776506,F500S,LG Electronics Inc. 
